"x_sweep []","Freq [GHz]","dB(S(1,1)) []"
0.7,2.5,-0.210666726134393
0.7,2.505,-0.214957511337598
0.7,2.51,-0.219384553459837
0.7,2.515,-0.223952889971977
0.7,2.52,-0.228667813416332
0.7,2.525,-0.233534885769576
0.7,2.53,-0.23855995374958
0.7,2.535,-0.243749165137172
0.7,2.54,-0.249108986189307
0.7,2.545,-0.254646220227261
0.7,2.55,-0.260368027490312
0.7,2.555,-0.266281946352926
0.7,2.56,-0.272395916012427
0.7,2.565,-0.278718300763105
0.7,2.57,-0.285257915983059
0.7,2.575,-0.292024055971384
0.7,2.58,-0.29902652378552
0.7,2.585,-0.306275663242045
0.7,2.59,-0.31378239325946
0.7,2.595,-0.321558244737215
0.7,2.6,-0.329615400183932
0.7,2.605,-0.337966736327347
0.7,2.61,-0.346625869960184
0.7,2.615,-0.355607207300811
0.7,2.62,-0.364925997173869
0.7,2.625,-0.374598388345531
0.7,2.63,-0.384641491381092
0.7,2.635,-0.395073445428155
0.7,2.64,-0.405913490368943
0.7,2.645,-0.417182044829966
0.7,2.65,-0.428900790585464
0.7,2.655,-0.441092763946966
0.7,2.66,-0.453782454790997
0.7,2.665,-0.466995913945031
0.7,2.67,-0.480760869726723
0.7,2.675,-0.495106854515221
0.7,2.68,-0.510065342326858
0.7,2.685,-0.525669898471526
0.7,2.69,-0.541956342482398
0.7,2.695,-0.558962925641797
0.7,2.7,-0.576730524571478
0.7,2.705,-0.5953028525184
0.7,2.71,-0.61472669014982
0.7,2.715,-0.635052137876123
0.7,2.72,-0.656332891949803
0.7,2.725,-0.678626546847455
0.7,2.73,-0.701994926732002
0.7,2.735,-0.726504449119793
0.7,2.74,-0.75222652424556
0.7,2.745,-0.779237994034431
0.7,2.75,-0.80762161505973
0.7,2.755,-0.83746659039569
0.7,2.76,-0.868869155875778
0.7,2.765,-0.901933226947358
0.7,2.77,-0.936771113085922
0.7,2.775,-0.97350430760922
0.7,2.78,-1.01226436172987
0.7,2.785,-1.05319385282171
0.7,2.79,-1.09644745817368
0.7,2.795,-1.14219314698934
0.7,2.8,-1.19061350509139
0.7,2.805,-1.24190720874616
0.7,2.81,-1.29629066627464
0.7,2.815,-1.35399984872068
0.7,2.82,-1.41529233386574
0.7,2.825,-1.48044959139688
0.7,2.83,-1.54977954114855
0.7,2.835,-1.62361942117952
0.7,2.84,-1.70233900817151
0.7,2.845,-1.78634423945902
0.7,2.85,-1.87608129418604
0.7,2.855,-1.9720412009921
0.7,2.86,-2.07476505172658
0.7,2.865,-2.18484991560326
0.7,2.87,-2.30295556678488
0.7,2.875,-2.42981216178139
0.7,2.88,-2.56622903283365
0.7,2.885,-2.71310480182445
0.7,2.89,-2.87143906924682
0.7,2.895,-3.04234599864651
0.7,2.9,-3.22707020478516
0.7,2.905,-3.42700547219365
0.7,2.91,-3.64371699226976
0.7,2.915,-3.87896802979661
0.7,2.92,-4.13475224053616
0.7,2.925,-4.41333330046997
0.7,2.93,-4.71729413516986
0.7,2.935,-5.04959894865041
0.7,2.94,-5.41367259286143
0.7,2.945,-5.81350382989925
0.7,2.95,-6.25378211199981
0.7,2.955,-6.74008230580062
0.7,2.96,-7.27911948265987
0.7,2.965,-7.87910859589719
0.7,2.97,-8.55028554003684
0.7,2.975,-9.30568454980445
0.7,2.98,-10.162338321218
0.7,2.985,-11.1432071412826
0.7,2.99,-12.28043532953
0.7,2.995,-13.6211915258324
0.7,3,-15.2389807233145
0.7,3.005,-17.2578721835836
0.7,3.01,-19.9118997424023
0.7,3.015,-23.7192808162412
0.7,3.02,-30.0186859824667
0.7,3.025,-33.2399406666899
0.7,3.03,-25.7506429704933
0.7,3.035,-21.2563695702388
0.7,3.04,-18.2826457980919
0.7,3.045,-16.0898908728181
0.7,3.05,-14.3680160713578
0.7,3.055,-12.9612374221808
0.7,3.06,-11.7806346529613
0.7,3.065,-10.7706735785819
0.7,3.07,-9.89428816120289
0.7,3.075,-9.12544270936279
0.7,3.08,-8.44509415265733
0.7,3.085,-7.83884949565907
0.7,3.09,-7.29553230968747
0.7,3.095,-6.80626619075211
0.7,3.1,-6.36386676813654
0.7,3.105,-5.96242546943828
0.7,3.11,-5.59701662469334
0.7,3.115,-5.26348629156375
0.7,3.12,-4.95829665183719
0.7,3.125,-4.67840907965374
0.7,3.13,-4.42119468669186
0.7,3.135,-4.18436476409323
0.7,3.14,-3.96591588620343
0.7,3.145,-3.76408599544267
0.7,3.15,-3.57731883729812
0.7,3.155,-3.40423483558041
0.7,3.16,-3.24360700134873
0.7,3.165,-3.09434082523696
0.7,3.17,-2.95545735864822
0.7,3.175,-2.82607887519488
0.7,3.18,-2.705416640578
0.7,3.185,-2.59276042098186
0.7,3.19,-2.48746943679887
0.7,3.195,-2.38896452694491
0.7,3.2,-2.29672133401834
0.7,3.205,-2.21026435555425
0.7,3.21,-2.12916173412433
0.7,3.215,-2.05302068084787
0.7,3.22,-1.98148344434356
0.7,3.225,-1.91422375125597
0.7,3.23,-1.85094365597341
0.7,3.235,-1.79137074657467
0.7,3.24,-1.73525566182585
0.7,3.245,-1.68236988052145
0.7,3.25,-1.63250374988032
0.7,3.255,-1.58546472426304
0.7,3.26,-1.54107578933022
0.7,3.265,-1.49917405003344
0.7,3.27,-1.4596094636226
0.7,3.275,-1.422243701243
0.7,3.28,-1.38694912375022
0.7,3.285,-1.35360785914072
0.7,3.29,-1.32211097052718
0.7,3.295,-1.29235770491436
0.7,3.3,-1.2642548141846
0.7,3.305,-1.23771594070653
0.7,3.31,-1.21266106085722
0.7,3.315,-1.18901598051543
0.7,3.32,-1.16671187725555
0.7,3.325,-1.14568488456174
0.7,3.33,-1.12587571390167
0.7,3.335,-1.10722931095534
0.7,3.34,-1.08969454269902
0.7,3.345,-1.07322391240013
0.7,3.35,-1.05777329989495
0.7,3.355,-1.04330172480035
0.7,3.36,-1.02977113055977
0.7,3.365,-1.01714618744348
0.7,3.37,-1.00539411282099
0.7,3.375,-0.99448450719781
0.7,3.38,-0.984389204666138
0.7,3.385,-0.975082136558969
0.7,3.39,-0.966539207222869
0.7,3.395,-0.958738180937649
0.7,3.4,-0.951658579113006
0.7,3.405,-0.945281586983258
0.7,3.41,-0.939589969105148
0.7,3.415,-0.934567993038429
0.7,3.42,-0.930201360657115
0.7,3.425,-0.926477146602532
0.7,3.43,-0.923383743445887
0.7,3.435,-0.920910813181196
0.7,3.44,-0.919049244717605
0.7,3.445,-0.917791117086455
0.7,3.45,-0.917129668119413
0.7,3.455,-0.91705926839521
0.7,3.46,-0.917575400289424
0.7,3.465,-0.918674641998452
0.7,3.47,-0.920354656443149
0.7,3.475,-0.922614184991853
0.7,3.48,-0.925453045975462
0.7,3.485,-0.928872138000136
0.7,3.49,-0.932873448095946
0.7,3.495,-0.937460064772964
0.7,3.5,-0.942636196090134
