"x_sweep []","Freq [GHz]","dB(S(1,1)) []"
0.7,2.5,-0.210666726134393
0.7,2.505,-0.214957511335824
0.7,2.51,-0.219384553456535
0.7,2.515,-0.223952889967393
0.7,2.52,-0.22866781341068
0.7,2.525,-0.23353488576303
0.7,2.53,-0.238559953742336
0.7,2.535,-0.243749165129372
0.7,2.54,-0.249108986181075
0.7,2.545,-0.254646220218736
0.7,2.55,-0.260368027481591
0.7,2.555,-0.266281946344116
0.7,2.56,-0.272395916003604
0.7,2.565,-0.27871830075434
0.7,2.57,-0.285257915974414
0.7,2.575,-0.292024055962916
0.7,2.58,-0.299026523777256
0.7,2.585,-0.306275663234048
0.7,2.59,-0.313782393251755
0.7,2.595,-0.32155824472981
0.7,2.6,-0.329615400176857
0.7,2.605,-0.33796673632061
0.7,2.61,-0.346625869953791
0.7,2.615,-0.35560720729479
0.7,2.62,-0.364925997168205
0.7,2.625,-0.374598388340223
0.7,2.63,-0.384641491376142
0.7,2.635,-0.395073445423545
0.7,2.64,-0.405913490364684
0.7,2.645,-0.417182044826044
0.7,2.65,-0.428900790581838
0.7,2.655,-0.441092763943651
0.7,2.66,-0.453782454787983
0.7,2.665,-0.466995913942299
0.7,2.67,-0.480760869724254
0.7,2.675,-0.495106854513002
0.7,2.68,-0.510065342324874
0.7,2.685,-0.525669898469766
0.7,2.69,-0.54195634248086
0.7,2.695,-0.558962925640456
0.7,2.7,-0.57673052457031
0.7,2.705,-0.595302852517409
0.7,2.71,-0.614726690148966
0.7,2.715,-0.635052137875425
0.7,2.72,-0.656332891949224
0.7,2.725,-0.678626546846992
0.7,2.73,-0.701994926731666
0.7,2.735,-0.72650444911955
0.7,2.74,-0.752226524245396
0.7,2.745,-0.779237994034356
0.7,2.75,-0.80762161505973
0.7,2.755,-0.837466590395752
0.7,2.76,-0.868869155875898
0.7,2.765,-0.90193322694753
0.7,2.77,-0.936771113086142
0.7,2.775,-0.973504307609484
0.7,2.78,-1.01226436173016
0.7,2.785,-1.05319385282204
0.7,2.79,-1.09644745817403
0.7,2.795,-1.14219314698971
0.7,2.8,-1.19061350509177
0.7,2.805,-1.24190720874656
0.7,2.81,-1.29629066627505
0.7,2.815,-1.3539998487211
0.7,2.82,-1.41529233386617
0.7,2.825,-1.48044959139729
0.7,2.83,-1.54977954114896
0.7,2.835,-1.62361942117992
0.7,2.84,-1.70233900817189
0.7,2.845,-1.78634423945938
0.7,2.85,-1.87608129418635
0.7,2.855,-1.97204120099238
0.7,2.86,-2.07476505172681
0.7,2.865,-2.1848499156034
0.7,2.87,-2.30295556678498
0.7,2.875,-2.42981216178139
0.7,2.88,-2.56622903283356
0.7,2.885,-2.71310480182422
0.7,2.89,-2.87143906924645
0.7,2.895,-3.04234599864599
0.7,2.9,-3.22707020478445
0.7,2.905,-3.42700547219273
0.7,2.91,-3.64371699226857
0.7,2.915,-3.87896802979514
0.7,2.92,-4.13475224053435
0.7,2.925,-4.41333330046779
0.7,2.93,-4.71729413516726
0.7,2.935,-5.04959894864732
0.7,2.94,-5.41367259285779
0.7,2.945,-5.81350382989499
0.7,2.95,-6.25378211199483
0.7,2.955,-6.74008230579485
0.7,2.96,-7.27911948265317
0.7,2.965,-7.87910859588942
0.7,2.97,-8.55028554002782
0.7,2.975,-9.30568454979396
0.7,2.98,-10.1623383212058
0.7,2.985,-11.1432071412683
0.7,2.99,-12.2804353295131
0.7,2.995,-13.6211915258121
0.7,3,-15.2389807232895
0.7,3.005,-17.2578721835518
0.7,3.01,-19.9118997423594
0.7,3.015,-23.719280816177
0.7,3.02,-30.0186859823592
0.7,3.025,-33.2399406668028
0.7,3.03,-25.7506429705704
0.7,3.035,-21.2563695702845
0.7,3.04,-18.282645798123
0.7,3.045,-16.089890872841
0.7,3.05,-14.3680160713752
0.7,3.055,-12.9612374221946
0.7,3.06,-11.7806346529723
0.7,3.065,-10.7706735785907
0.7,3.07,-9.89428816121002
0.7,3.075,-9.12544270936854
0.7,3.08,-8.44509415266194
0.7,3.085,-7.83884949566274
0.7,3.09,-7.29553230969034
0.7,3.095,-6.80626619075432
0.7,3.1,-6.3638667681382
0.7,3.105,-5.96242546943949
0.7,3.11,-5.59701662469415
0.7,3.115,-5.26348629156423
0.7,3.12,-4.95829665183741
0.7,3.125,-4.67840907965374
0.7,3.13,-4.42119468669169
0.7,3.135,-4.18436476409292
0.7,3.14,-3.96591588620299
0.7,3.145,-3.76408599544215
0.7,3.15,-3.57731883729755
0.7,3.155,-3.40423483557979
0.7,3.16,-3.24360700134809
0.7,3.165,-3.09434082523631
0.7,3.17,-2.95545735864758
0.7,3.175,-2.82607887519424
0.7,3.18,-2.70541664057738
0.7,3.185,-2.59276042098127
0.7,3.19,-2.48746943679832
0.7,3.195,-2.3889645269444
0.7,3.2,-2.29672133401787
0.7,3.205,-2.21026435555382
0.7,3.21,-2.12916173412396
0.7,3.215,-2.05302068084754
0.7,3.22,-1.98148344434329
0.7,3.225,-1.91422375125574
